-0.000004	0
-0.000023	4994
-0.000067	9991
-0.000044	14991
-0.000003	19991
-0.000016	24992
0.000009	29992
-0.000009	34992
-0.000008	39991
0.000005	44992
-0.000012	49991
-0.000019	54992
-0.000024	59990
-0.000020	64991
-0.000019	69991
-0.000042	74992
-0.000017	79991
-0.000018	84993
-0.000021	89991
-0.000047	94993
-0.000036	99991
-0.000016	104991
-0.000017	109992
-0.000022	114992
-0.000025	119993
-0.000031	124991
-0.000035	129992
-0.000036	134990
-0.000037	139991
-0.000035	144994
-0.000042	149992
-0.000044	154994
-0.000041	159992
-0.000042	164991
-0.000046	169992
-0.000050	174994
-0.000042	179992
-0.000038	184993
-0.000043	189992
-0.000042	194993
-0.000041	199992
-0.000044	204993
-0.000047	209991
-0.000045	214993
-0.000044	219991
-0.000041	224992
-0.000038	229993
-0.000034	234991
-0.000034	239991
-0.000033	244993
-0.000033	249993
-0.000033	254991
-0.000035	259992
-0.000031	264994
-0.000034	269992
-0.000036	274993
-0.000041	279992
-0.000039	284993
-0.000037	289991
-0.000033	294992
-0.000030	299995
-0.000027	304994
-0.000025	309993
-0.000020	314995
-0.000025	319994
-0.000032	324992
-0.000026	329994
-0.000024	334992
-0.000029	339994
-0.000028	344993
-0.000024	349993
-0.000033	354993
-0.000025	359994
-0.000027	364992
-0.000027	369992
-0.000029	374992
-0.000024	379992
-0.000015	384992
-0.000017	389993
-0.000016	394993
-0.000012	399993
-0.000012	404993
-0.000012	409994
-0.000011	414992
-0.000016	419993
-0.000015	424992
-0.000020	429992
-0.000024	434992
-0.000028	439992
-0.000025	444992
-0.000031	449993
-0.000047	454994
-0.000036	459995
-0.000035	464995
-0.000035	469993
-0.000036	474993
-0.000030	479993
-0.000036	484993
-0.000039	489995
-0.000029	494993
-0.000031	499996
-0.000032	504996
-0.000022	509996
-0.000022	514996
-0.000024	519996
-0.000021	524996
-0.000022	529996
-0.000016	534996
-0.000025	539996
-0.000008	544996
-0.000001	549995
-0.000004	554995
-0.000004	559993
0.000003	564994
0.000002	569993
-0.000000	574995
0.000001	579994
0.000000	584995
0.000002	589993
0.000007	594995
0.000005	599994
0.000003	604996
0.000007	609994
-0.000008	614994
0.000001	619997
0.000002	624996
-0.000001	629995
0.000004	634996
0.000000	639995
0.000001	644995
0.000003	649994
0.000002	654996
0.000001	659995
0.000007	664994
0.000009	669995
